rank,title,year,duration,rating,votes,scraped_date
179,Oppenheimer,2023,180 min,8.2,1.0M,20260602
180,Die Hard,1988,132 min,8.2,1.0M,20260602
181,Taxi Driver,1976,114 min,8.2,1.0M,20260602
182,Snatch,2000,102 min,8.2,977.4K,20260602
183,Prisoners,2013,153 min,8.2,937.7K,20260602
184,A Clockwork Orange,1971,136 min,8.2,937.0K,20260602
185,Top Gun: Maverick,2022,130 min,8.2,874.3K,20260602
186,Indiana Jones and the Last Crusade,1989,127 min,8.2,863.9K,20260602
187,Full Metal Jacket,1987,116 min,8.2,851.3K,20260602
188,1917,2019,119 min,8.2,772.9K,20260602
189,Pan's Labyrinth,2006,118 min,8.2,747.4K,20260602
190,There Will Be Blood,2007,158 min,8.2,709.8K,20260602
191,Green Book,2018,130 min,8.2,688.3K,20260602
192,L.A. Confidential,1997,138 min,8.2,659.1K,20260602
193,Casino,1995,178 min,8.2,620.6K,20260602
194,The Thing,1982,109 min,8.2,527.0K,20260602
195,Howl's Moving Castle,2004,119 min,8.2,513.3K,20260602
196,Citizen Kane,1941,119 min,8.2,493.4K,20260602
197,Unforgiven,1992,130 min,8.2,468.7K,20260602
198,Vertigo,1958,128 min,8.2,459.1K,20260602
199,Downfall,2004,156 min,8.2,400.7K,20260602
200,Gone with the Wind,1939,238 min,8.2,356.2K,20260602
201,To Kill a Mockingbird,1962,129 min,8.2,351.2K,20260602
202,Some Like It Hot,1959,121 min,8.2,304.6K,20260602
203,The Sting,1973,129 min,8.2,302.1K,20260602
204,For a Few Dollars More,1965,132 min,8.2,300.4K,20260602
205,The Elephant Man,1980,124 min,8.2,282.0K,20260602
206,The Great Escape,1963,172 min,8.2,277.8K,20260602
207,The Father,2020,97 min,8.2,245.8K,20260602
208,The Secret in Their Eyes,2009,129 min,8.2,242.6K,20260602
209,Klaus,2019,96 min,8.2,237.5K,20260602
210,The Wild Robot,2024,102 min,8.2,225.7K,20260602
211,Metropolis,1927,150 min,8.2,201.4K,20260602
212,Bicycle Thieves,1948,89 min,8.2,192.1K,20260602
213,K.G.F: Chapter 2,2022,166 min,8.2,169.9K,20260602
214,Ran,1985,160 min,8.2,152.3K,20260602
215,All About Eve,1950,138 min,8.2,149.4K,20260602
216,The Kid,1921,68 min,8.2,145.8K,20260602
217,Yojimbo,1961,110 min,8.2,143.3K,20260602
218,A Silent Voice: The Movie,2016,130 min,8.2,142.9K,20260602
219,The Treasure of the Sierra Madre,1948,126 min,8.2,141.5K,20260602
220,Baahubali 2: The Conclusion,2017,167 min,8.2,134.4K,20260602
221,Andhadhun,2018,139 min,8.2,116.4K,20260602
222,Gangs of Wasseypur,2012,321 min,8.2,114.4K,20260602
223,Drishyam,2015,163 min,8.2,109.3K,20260602
224,Swades,2004,189 min,8.2,106.2K,20260602
225,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,117 min,8.2,101.1K,20260602
226,My Father and My Son,2005,112 min,8.2,101.0K,20260602
227,Munna Bhai M.B.B.S.,2003,156 min,8.2,98.2K,20260602
228,Zindagi Na Milegi Dobara,2011,155 min,8.2,96.0K,20260602
229,Children of Heaven,1997,89 min,8.2,90.2K,20260602
230,Uri: The Surgical Strike,2019,138 min,8.2,83.9K,20260602
231,Inside Job,2010,109 min,8.2,82.7K,20260602
232,Hera Pheri,2000,156 min,8.2,80.8K,20260602
233,Bhaag Milkha Bhaag,2013,186 min,8.2,79.0K,20260602
234,Searching for Sugar Man,2012,86 min,8.2,76.4K,20260602
235,Tumbbad,2018,108 min,8.2,75.4K,20260602
236,Miracle in Cell No. 7,2019,132 min,8.2,62.9K,20260602
237,Vikram Vedha,2017,147 min,8.2,55.5K,20260602
238,Drishyam 2,2022,140 min,8.2,52.1K,20260602
239,Obsession,2025,108 min,8.2,48.8K,20260602
240,Ayla: The Daughter of War,2017,125 min,8.2,48.4K,20260602
241,No Other Land,2024,92 min,8.2,45.3K,20260602
242,Koyaanisqatsi,1982,86 min,8.2,44.7K,20260602
243,The Act of Killing,2012,117 min,8.2,44.3K,20260602
244,Pather Panchali,1955,125 min,8.2,41.7K,20260602
245,They Shall Not Grow Old,2018,99 min,8.2,40.8K,20260602
246,Paan Singh Tomar,2012,135 min,8.2,40.1K,20260602
247,13th,2016,100 min,8.2,39.4K,20260602
248,Dersu Uzala,1975,142 min,8.2,36.5K,20260602
249,Manjummel Boys,2024,135 min,8.2,33.8K,20260602
250,Rangasthalam,2018,170 min,8.2,31.0K,20260602
